WMT_balance-sheet_Annual_As_Originally_Reported,2020,2021,2022,2023,2024
Total Assets,236495000000.0,252496000000.0,244860000000.0,243197000000.0,252399000000.0
    Total Current Assets,61806000000.0,90067000000.0,81070000000.0,75655000000.0,76877000000.0
"        Cash, Cash Equivalents and Short Term Investments",9465000000.0,17741000000.0,14760000000.0,8625000000.0,9867000000.0
            Cash and Cash Equivalents,9465000000.0,17741000000.0,14760000000.0,8625000000.0,9867000000.0
        Inventories,44435000000.0,44949000000.0,56511000000.0,56576000000.0,54892000000.0
"        Trade and Other Receivables, Current",6284000000.0,6516000000.0,8280000000.0,7933000000.0,8796000000.0
"            Trade/Accounts Receivable, Current",6284000000.0,6516000000.0,8280000000.0,7933000000.0,8796000000.0
        Other Current Assets,1622000000.0,20861000000.0,1519000000.0,2521000000.0,3322000000.0
"        Assets Held for Sale/Discontinued Operations, Current",,,,,
    Total Non-Current Assets,174689000000.0,162429000000.0,163790000000.0,167542000000.0,175522000000.0
"        Net Property, Plant and Equipment",127049000000.0,109848000000.0,112624000000.0,119234000000.0,130338000000.0
"            Gross Property, Plant and Equipment",216869000000.0,198218000000.0,207433000000.0,220844000000.0,239387000000.0
                Properties,130293000000.0,116890000000.0,119580000000.0,123871000000.0,131329000000.0
                    Land and Improvements,24619000000.0,19308000000.0,19204000000.0,19317000000.0,19562000000.0
                    Buildings and Improvements,105674000000.0,97582000000.0,100376000000.0,104554000000.0,111767000000.0
"                Machinery, Furniture and Equipment",60984000000.0,58940000000.0,62545000000.0,67697000000.0,75140000000.0
"                    Furniture, Fixtures and Office Equipment",58607000000.0,56639000000.0,60282000000.0,65235000000.0,72161000000.0
"                    Flight, Fleet, Vehicle and Related Equipment",2377000000.0,2301000000.0,2263000000.0,2462000000.0,2979000000.0
                Construction in Progress and Advance Payments,3751000000.0,4741000000.0,7199000000.0,10802000000.0,13390000000.0
"                Leased Property, Plant and Equipment",21841000000.0,17647000000.0,18109000000.0,18474000000.0,19528000000.0
            Accumulated Depreciation and Impairment,-89820000000.0,-88370000000.0,-94809000000.0,-101610000000.0,-109049000000.0
                Accumulated Depreciation,-89820000000.0,-88370000000.0,-94809000000.0,-101610000000.0,-109049000000.0
"                    Accumulated Depreciation of Other Property, Plant and Equipment",-89820000000.0,-88370000000.0,-94809000000.0,-101610000000.0,-109049000000.0
"                    Accumulated Depreciation of Leased Property, Plant and Equipment",,,,,
        Net Intangible Assets,31073000000.0,28983000000.0,29014000000.0,28174000000.0,28113000000.0
            Gross Goodwill and Other Intangible Assets,31073000000.0,28983000000.0,29014000000.0,28174000000.0,28113000000.0
                Goodwill,31073000000.0,28983000000.0,29014000000.0,28174000000.0,28113000000.0
        Other Non-Current Assets,16567000000.0,23598000000.0,22152000000.0,20134000000.0,17071000000.0
Total Liabilities,154943000000.0,164965000000.0,152969000000.0,159206000000.0,161828000000.0
    Total Current Liabilities,77790000000.0,92645000000.0,87379000000.0,92198000000.0,92415000000.0
"        Payables and Accrued Expenses, Current",67559000000.0,72305000000.0,79592000000.0,83107000000.0,83214000000.0
"            Trade and Other Payables, Current",50292000000.0,52711000000.0,59359000000.0,57894000000.0,60578000000.0
"                Trade/Accounts Payable, Current",46973000000.0,49141000000.0,55261000000.0,53742000000.0,56812000000.0
"                Taxes Payable, Current",3319000000.0,3570000000.0,4098000000.0,4152000000.0,3766000000.0
"            Accrued Expenses, Current",17267000000.0,19594000000.0,20233000000.0,25213000000.0,22636000000.0
"        Financial Liabilities, Current",8241000000.0,5296000000.0,5207000000.0,6603000000.0,6537000000.0
            Current Debt and Capital Lease Obligation,8241000000.0,5296000000.0,5207000000.0,6603000000.0,6537000000.0
                Current Debt,575000000.0,224000000.0,410000000.0,372000000.0,878000000.0
                Current Portion of Long Term Debt and Capital Lease,7666000000.0,5072000000.0,4797000000.0,6231000000.0,5659000000.0
                    Current Portion of Long Term Debt,5362000000.0,3115000000.0,2803000000.0,4191000000.0,3447000000.0
"                    Capital Lease Obligations, Current",2304000000.0,1957000000.0,1994000000.0,2040000000.0,2212000000.0
"        Deferred Liabilities, Current",1990000000.0,2310000000.0,2559000000.0,2488000000.0,2664000000.0
"            Deferred Income/Customer Advances/Billings in Excess of Cost, Current",1990000000.0,2310000000.0,2559000000.0,2488000000.0,2664000000.0
"        Discontinued Operations Liabilities, Current",,12734000000.0,21000000.0,,
    Total Non-Current Liabilities,77153000000.0,72320000000.0,65590000000.0,67008000000.0,69413000000.0
"        Financial Liabilities, Non-Current",64192000000.0,57950000000.0,52116000000.0,52320000000.0,54784000000.0
            Long Term Debt and Capital Lease Obligation,64192000000.0,57950000000.0,52116000000.0,52320000000.0,54784000000.0
                Long Term Debt,43714000000.0,41194000000.0,34864000000.0,34649000000.0,36132000000.0
"                Capital Lease Obligations, Non-Current",20478000000.0,16756000000.0,17252000000.0,17671000000.0,18652000000.0
        Other Non-Current Liabilities,12961000000.0,14370000000.0,13474000000.0,14688000000.0,14629000000.0
